"School Name","School URL","School Teams","Errors"
"Green Valley (NV)","https://hspf17.debatecoaches.org//Green%20Valley/","[]","No debaters listed"
"Greenhill (TX)","https://hspf17.debatecoaches.org//Greenhill/","[]","No debaters listed"
"Greenhills (MI)","https://hspf17.debatecoaches.org//Greenhills/","['Greenhills Harry Bagenstos - Aarushi Ganguly']",""
"Greenwood (AR)","https://hspf17.debatecoaches.org//Greenwood/","[]","No debaters listed"
"Greenwood Lab (MO)","https://hspf17.debatecoaches.org//Greenwood%20Lab/","[]","No debaters listed"
"Groves (MI)","https://hspf17.debatecoaches.org//Groves/","[]","No debaters listed"
"Gulliver Prep (FL)","https://hspf17.debatecoaches.org//Gulliver%20Prep/","[]","No debaters listed"
"Guyer (TX)","https://hspf17.debatecoaches.org//Guyer/","[]","No debaters listed"
"Guymon (OK)","https://hspf17.debatecoaches.org//Guymon/","[]","No debaters listed"
"Hallsville (TX)","https://hspf17.debatecoaches.org//Hallsville/","[]","No debaters listed"
"Hamilton (AZ)","https://hspf17.debatecoaches.org//Hamilton/","['Hamilton Daniel Shih - Greg Miller']",""
"Hamilton (MT)","https://hspf17.debatecoaches.org//Hamilton%20MT/","[]","No debaters listed"
"Harker (CA)","https://hspf17.debatecoaches.org//Harker/","['Harker Ansh Sheth - Krishna Mysoor', 'Harker Ayan Nath - Sascha Pakravan']",""
"Harrisonburg (VA)","https://hspf17.debatecoaches.org//Harrisonburg/","[]","No debaters listed"
"Hawken (OH)","https://hspf17.debatecoaches.org//Hawken/","[]","No debaters listed"
"Head Royce (CA)","https://hspf17.debatecoaches.org//Head%20Royce/","[]","No debaters listed"
"Heartland Debate (SD)","https://hspf17.debatecoaches.org//Heartland%20Debate/","[]","No debaters listed"
"Hebron (TX)","https://hspf17.debatecoaches.org//Hebron/","[]","No debaters listed"
"Hendrickson (TX)","https://hspf17.debatecoaches.org//Hendrickson/","[]","No debaters listed"
"Henry W. Grady (GA)","https://hspf17.debatecoaches.org//Henry%20W%20Grady/","[]","No debaters listed"
"Heritage Hall (OK)","https://hspf17.debatecoaches.org//Heritage%20Hall/","[]","No debaters listed"
"Highland (ID)","https://hspf17.debatecoaches.org//Highland%20ID/","[]","No debaters listed"
"Highland (UT)","https://hspf17.debatecoaches.org//Highland/","[]","No debaters listed"
"Highland Park (MN)","https://hspf17.debatecoaches.org//Highland%20Park%20MN/","[]","No debaters listed"
"Highland Park (TX)","https://hspf17.debatecoaches.org//Highland%20Park%20TX/","[]","No debaters listed"
"Hillcrest (UT)","https://hspf17.debatecoaches.org//Hillcrest/","[]","No debaters listed"
"Hockaday (TX)","https://hspf17.debatecoaches.org//Hockaday/","[]","No debaters listed"
"Holy Cross (LA)","https://hspf17.debatecoaches.org//Holy%20Cross/","[]","No debaters listed"
"Homestead (WI)","https://hspf17.debatecoaches.org//Homestead/","[]","No debaters listed"
"Homewood Flossmoor (IL)","https://hspf17.debatecoaches.org//Homewood%20Flossmoor/","[]","No debaters listed"
"Houston Academy for Int'l Studies (TX)","https://hspf17.debatecoaches.org//Houston%20Academy/","[]","No debaters listed"
"Houston County (GA)","https://hspf17.debatecoaches.org//Houston%20County/","[]","No debaters listed"
"Houston Memorial (TX)","https://hspf17.debatecoaches.org//Houston%20Memorial/","['Houston Memorial Rachel Yi - Samuel Yang', 'Houston Memorial Tara Schmidtke - Kendrick Foster', 'Houston Memorial Zain Hussain - Demetri Zacharakis']",""
"Hume Fogg (TN)","https://hspf17.debatecoaches.org//Hume%20Fogg/","[]","No debaters listed"
"Hunter College (NY)","https://hspf17.debatecoaches.org//Hunter%20College/","[]","No debaters listed"
"Hutchinson (KS)","https://hspf17.debatecoaches.org//Hutchinson/","[]","No debaters listed"
"iLEAD NoHo (CA)","https://hspf17.debatecoaches.org//iLEAD%20NoHo/","[]","No debaters listed"
"Ingraham (WA)","https://hspf17.debatecoaches.org//Ingraham/","[]","No debaters listed"
"Institute for Collaborative Education (NY)","https://hspf17.debatecoaches.org//Institute%20for%20Collaborative%20Education/","[]","No debaters listed"
"Interlake (WA)","https://hspf17.debatecoaches.org//Interlake/","[]","No debaters listed"
"Iowa City High (IA)","https://hspf17.debatecoaches.org//Iowa%20City/","[]","No debaters listed"
"Iowa City West (IA)","https://hspf17.debatecoaches.org//Iowa%20City%20West/","[]","No debaters listed"
